Open,High,Low,Close,Adj Close,Volume,EMA12,EMA26,MACD,Signal_Line,MACD_Histogram
74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,72.96045684814453,135480400,,,,,
74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.25113677978516,146322800,,,,,
73.44750213623047,74.98999786376953,73.1875,74.94999694824219,72.82683563232422,118387200,,,,,
74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,72.48434448242188,108872000,,,,,
74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,73.65033721923828,132079200,,,,,
76.80999755859375,77.60749816894531,76.55000305175781,77.40750122070312,75.2147445678711,170108400,,,,,
77.6500015258789,78.1675033569336,77.0625,77.5824966430664,75.38477325439453,140644800,,,,,
77.91000366210938,79.26750183105469,77.7874984741211,79.23999786376953,76.99533081054688,121532000,,,,,
79.17500305175781,79.39250183105469,78.0425033569336,78.16999816894531,75.95564270019531,161954400,,,,,
77.9625015258789,78.875,77.38749694824219,77.83499908447266,75.630126953125,121923600,,,,,
78.39749908447266,78.92500305175781,78.02249908447266,78.80999755859375,76.5775146484375,108829200,,,,,
79.06749725341797,79.68499755859375,78.75,79.68250274658203,77.42530059814453,137816400,77.48220942775853,,,,
79.29750061035156,79.75499725341797,79.0,79.14250183105469,76.90059661865234,110843200,77.73763902826563,,,,
79.6449966430664,79.99749755859375,79.32749938964844,79.42500305175781,77.17510986328125,101832400,77.99723349341826,,,,
79.4800033569336,79.88999938964844,78.9124984741211,79.80750274658203,77.54676055908203,104472000,78.27573645544346,,,,
80.0625,80.8324966430664,79.37999725341797,79.57749938964844,77.32328796386719,146537600,78.47600767609039,,,,
77.51499938964844,77.94249725341797,76.22000122070312,77.23750305175781,75.04955291748047,161940000,78.28546850311615,,,,
78.1500015258789,79.5999984741211,78.04750061035156,79.42250061035156,77.17266082763672,162234000,78.46039651961391,,,,
81.11250305175781,81.9625015258789,80.34500122070312,81.08499908447266,78.78807067871094,216229200,78.86418152959219,,,,
80.13500213623047,81.02249908447266,79.6875,80.96749877929688,78.67388916015625,126743200,79.18776879877751,,,,
80.23249816894531,80.66999816894531,77.07250213623047,77.37750244140625,75.1855697631836,199588400,78.90926628225886,,,,
76.07499694824219,78.37249755859375,75.55500030517578,77.16500091552734,74.9791259765625,173788400,78.64091776430016,,,,
78.82749938964844,79.91000366210938,78.40750122070312,79.7125015258789,77.4544448852539,136616400,78.80577680454304,,,,
80.87999725341797,81.19000244140625,79.73750305175781,80.36250305175781,78.08602905273438,118826800,79.04527315026839,,,,
80.64250183105469,81.30500030517578,80.06500244140625,81.30249786376953,78.99939727783203,105425600,79.39253849080703,,,,
80.59249877929688,80.8499984741211,79.5,80.00749969482422,77.92559051513672,117684000,79.48714790680967,78.51672708665626,0.9704208201534072,,
78.54499816894531,80.38749694824219,78.4625015258789,80.38749694824219,78.29569244384766,109348800,79.62566314395313,78.65530263195892,0.9703605119942154,,
80.9000015258789,80.9749984741211,79.67749786376953,79.90249633789062,77.82331848144531,94323200,79.66825286609736,78.74768735091682,0.9205655151805416,,
80.36750030517578,81.80500030517578,80.36750030517578,81.80000305175781,79.67146301269531,113730400,79.99621443312205,78.97378481023837,1.0224296228836778,,
81.04750061035156,81.55500030517578,80.8375015258789,81.21749877929688,79.1041030883789,94747600,80.18410433253356,79.13998584498344,1.0441184875501222,,
81.18499755859375,81.49500274658203,80.7125015258789,81.23750305175781,79.12358093261719,80113600,80.34616567395268,79.29535748992969,1.0508081840229977,,
78.83999633789062,79.9375,78.65249633789062,79.75,77.6747817993164,152531200,80.25444787795996,79.32903471289785,0.9254131650621105,,
80.0,81.14250183105469,80.0,80.90499877929688,78.79973602294922,93984000,80.3545326320118,79.44577279189036,0.9087598401214336,,
80.65750122070312,81.1624984741211,79.55249786376953,80.07499694824219,77.99132537841797,100566000,80.31152714220109,79.49238198865717,0.8191451535439143,0.9395999947229283,-0.12045484117901406
79.65499877929688,80.11250305175781,77.625,78.26249694824219,76.22599029541016,129554000,79.99629172774587,79.40127939307088,0.5950123346749905,0.8706824627133407,-0.2756701280383502
74.31500244140625,76.04499816894531,72.30750274658203,74.54499816894531,72.6052474975586,222195200,79.1576311802381,79.04155485795046,0.11607632228763975,0.7197612346282006,-0.6036849123405609
75.23750305175781,75.63249969482422,71.53250122070312,72.0199966430664,70.14595031738281,230673600,78.05953355913476,78.52143943462572,-0.46190587549095596,0.4834278126043693,-0.9453336880953253
71.63249969482422,74.47000122070312,71.625,73.1624984741211,71.25869750976562,198054800,77.30614354605574,78.12448084495871,-0.8183372989029749,0.22307479030290045,-1.0414120892058754
70.2750015258789,71.5,68.23999786376953,68.37999725341797,66.60065460205078,320605600,75.9328902702653,77.40266724558532,-1.4697769753200163,-0.11549556282168288,-1.3542814124983333
64.31500244140625,69.60250091552734,64.09249877929688,68.33999633789062,66.56168365478516,426510000,74.76475274220766,76.73135828945979,-1.9666055472521293,-0.4857175597077722,-1.480887987544357
70.56999969482422,75.36000061035156,69.43000030517578,74.70249938964844,72.75863647460938,341397200,74.75517530335239,76.58107244502932,-1.8258971416769327,-0.7537534761016044,-1.0721436655753283
75.9175033569336,76.0,71.44999694824219,72.33000183105469,70.4478759765625,319475600,74.38207169222967,76.26617832547564,-1.8841066332459633,-0.9798241075304762,-0.9042825257154871
74.11000061035156,75.8499984741211,73.28250122070312,75.68499755859375,73.715576171875,219178400,74.58252182551645,76.2231278982992,-1.6406060727827452,-1.11198050058093,-0.5286255722018152
